単語,品詞,意味,用例,"単語
を追加",品詞・意味・用例を追加
ball,名,ボール,play with a ball,,
banana,名,バナナ,eat a banana,,
bank,名,銀行,work for a bank,●,
barrier,名,障壁、障害,a language barrier,,
base,動,～をもとにする、～に基礎〔根拠〕を置く,This story is based on my experience.,●,
baseball,名,野球,play baseball,,
basketball,名,バスケットボール,play basketball,,
bat,名,(野球などの)バット,a blue bat,●,
bath,名,入浴、浴室、風呂場,take a bath,,
bathroom,名,浴室、トイレ,in the bathroom,●,
battery,名,電池、バッテリー,change the batteries,●,
be,動,①～です、～だ　②(～に)いる、ある　《活用》was/were-been,want to be a nurse,,
beach,名,砂浜、浜辺、海岸,go to the beach,,
bean,名,豆,coffee beans,,
bear,"名
動
","クマ
～を産む、～を生む　《活用》bore-born
　be born　生まれる","a brown bear
I was born in 2011.
",,●
beat,"動
",～を打つ、～をたたく、～を打ち負かす　《活用》beat-beat/beaten,My heart is beating.,●,
beautiful,形,美しい,a beautiful picture,,
beauty,名,美しさ、美,the beauty of the sea,,
because,"接
","～だから、なぜならば～
　because of ～　～の理由で、～が原因で","because it is sunny
",,●
become,動,～になる　《活用》became-become,become a teacher,,
bed,名,ベッド,get out of bed,,
bedroom,名,寝室,sleep in my bedroom,●,
bee,名,ハチ、ミツバチ,bees around the flowers,●,
beef,名,牛肉,They don't eat beef.,●,
before,"副
前
接","前に、以前に、今までに
～よりも前に〔先に・早く〕　
～する前に","have been there before
before dinner
before I eat dinner ",,●
begin,"動
",～を始める、～をし始める、 始まる  《活用》began-begun,begin to walk,,
beginner,名,初心者,rules for beginners,●,
beginning,名,初め、最初、始まり,at the beginning of April,●,
behind,前,～の後ろに〔で〕,behind the trees,,
believe,動,(～を)信じる、(～を) 信じている,believe him,,
bell,名,ベルや鈴(の音),The bell is ringing.,●,
belong,動,～のものである、～に所属している,belong to the tennis club,●,
below,副,下に〔へ・を・の〕、下記に〔へ・を・の〕,See the questions below.,,
belt,名,ベルト、帯,a couple of black belts,●,
bench,名,ベンチ、長いす,sit on a bench,●,
beside,前,～のそばに〔の〕、～の隣りに〔の〕,beside the door,,
between,前,～の間に〔で・の・を〕,between A and B,,
beyond,前,～の向こうに〔で・の・へ〕,beyond the bridge,●,
bicycle,名,自転車,ride a bicycle,●,
big,形,大きい,live in a big city,,
bike,名,自転車,go by bike,,
billion,"名
形","１０億
１０億の","billions of people
a billion dollars",●,
bird,名,鳥,find a beautiful bird,,
birthday,名,誕生日,Today is his birthday.,,
bit,名,少し、ちょっと,a little bit of salt,●,
bitter,形,苦い、つらい,The coffee tastes bitter.,●,
black,"名
形","黒、黒色、黒人
黒の、黒色の、黒い","My favorite color is black.
find a black box",,●
blackboard,名,黒板,write on the blackboard,●,
blank,"名
形","白紙、空白
空白の、からっぽの","fill in the blanks
fill in the blank space",,●
block,名,区画、ブロック,walk for one block,●,
blog,名,ブログ,check the singer's blog,●,
blossom,名,花,cherry blossoms,,
blow,動,吹く、 ～を吹き動かす　《活用》blew-blown,The wind is blowing.,,
blue,"名
形","青、青色
青の、青色の、青い、青ざめた、ゆううつな","I like blue.
the blue sky",,●
board,"名
動","板、台
～に乗り込む","cut on the board 
board a bus",●,
boat,名,ボート、船,go by boat,,
body,名,体、肉体,a human body,,
bomb,名,爆弾,a time bomb,,
book,名,本,an English book,,
bookstore,名,書店,go to a bookstore,,
bored,形,退屈した,I am bored.,,
boring,形,退屈な、うんざりさせる,a boring story,,
born,動,(be born で)生まれる,A baby was born.,,
borrow,動,～を借りる,borrow a pencil,,
both,"形
副
代
接
","両方の
どちらも
両方
…も～も
　both … and ～　…も～も両方","both ways
It is both good and cheap.
both of you
Both he and his brother are teachers.
",,●
bottle,名,びん、ボトル,a red bottle,,
bottom,名,底、いちばん下の所,from the bottom of my heart,●,
bowl,名,どんぶり、わん,a bowl of rice,●,
box,名,箱,open a box,,
boy,名,少年,a tall boy,,
brain,名,脳、頭脳,the left brain,●,
brass band,名,吹奏楽部、ブラスバンド,the brass band club,●,
brave,形,勇敢な、勇ましい,a brave dog ,●,
Brazil,名,ブラジル,live in Brazil,●,
bread,名,パン,eat bread,,
break,"名
動","休憩
～を壊す、 壊れる　《活用》broke-broken","have a break
break the window",,●
breakfast,名,朝食,have breakfast,,
bridge,名,橋,a big bridge,,
bright,形,輝いている、光っている、明るい,the bright sun,,
bring,"動
",～を持ってくる、～を連れてくる、～をもたらす、～を提供する　《活用》brought-brought,bring some flowers,,
brother,名,兄弟、兄、弟,I have two brothers.,,
brown,"名
形","茶、茶色
茶の、茶色の","I like brown.
have a brown bag",,●
brush,"名
動","ブラシ、絵筆、毛筆
～を磨く","buy some brushes
brush my teeth",●,
build,"動
",～を建てる、～を建築する、～を建造する　《活用》built-built,build a house,,
building,名,建物、建築物、建造物,a new building,,
burn,"名
動","やけど
燃える、焼ける、～を燃やす、～を焼く","a burn on the hand
Something is burning.",,●
bus,名,バス,take a bus,,
business,名,職業、仕事、商売、事業,start a business ,,
busy,形,忙しい、にぎやかな,I am busy with my homework.,,
but,接,しかし、だが、けれども,"He is rich, but he is not happy.",,
butterfly,名,チョウ,I found some butterflies.,●,
buy,動,～を買う　《活用》bought-bought,buy a new dictionary,,
by,"副
前


","通り過ぎて
①～のそばに　②～を使って　③～によって　④～までに
　one by one　一人〔一つ〕ずつ　
　little by little　少しずつ","A car drove by.
①by the window　②by bus　③the books written by the actor　④by next Sunday

",,●
bye,間,さよなら,Good bye.,,
,,,,,
【c】,,,,,
cabbage,名,キャベツ,I bought two cabbages.,●,
cafe,名,カフェ、喫茶店,meet me at the cafe,●,
cafeteria,名,カフェテリア、食堂,at the school cafeteria,,
cage,名,かご、(動物の)おり,a bird in the cage,●,
cake,名,ケーキ,have tea and cakes,,
calendar,名,カレンダー,an old calendar on the wall,●,
call,"名
動
","電話をかけること、通話
①～に電話をかける　②～を(…と)呼ぶ、～を(…と)名づける","make a phone call
①call my friend  ②Please call me Masa.
",,●
calligraphy,名,カリグラフィ、書道,the calligraphy club,●,
camera,名,カメラ,my father's camera,,
camp,"名
動","キャンプ場、キャンプ生活
キャンプする","a camp site by a river
We camped by the river.",●,
camping,名,キャンプ,a school camping trip,●,
can,"助

","～することができる、～することがあり得る
　Can I ～?　～しましょうか。～してもよいですか。
　Can you ～?　～してくれますか。","I can speak English.　
Can I use your bike? 
Can you open the door?",,●
can,名,缶、容器,a can of juice,●,
Canada,名,カナダ,live in Canada,,
cancel,動,～を取り消す、～を中止する,cancel the flight,●,
cancer,名,(病気の)ガン,have cancer,●,
candy,名,キャンディー、あめ,candies in my pocket,●,
cap,名,(縁なしの)帽子、キャップ,wear a cap,,
car,名,自動車、車,get in a car,,
card,名,①グリーティングカード、挨拶状　②(トランプの)カード,①receive a card　②play cards,,●
care,名,世話、注意、用心,take care of sick people,,
careful,形,注意深い、用心深い,Be careful.,,
carefully,副,注意深く、用心深く,listen to her carefully,,
carrot,名,ニンジン,eat carrot soup,●,
carry,動,～を運ぶ、～を持っていく,carry a bag,,
case,名,①箱、容器、～入れ　②場合、状況,①in a large case　②in my case,,
castle,名,城,a castle in the woods,●,
cat,名,ネコ,have a cat,,
catch,"名
動","捕球
～をつかまえる　《活用》caught-caught","a great catch
catch him",,●
cause,動,～の原因となる、～を引き起こす,cause some problems ,,
CD,名,ＣＤ,buy a CD,,
celebrate,動,～を祝う,celebrate her birthday,,
center,名,中心、真ん中、センター,at the center of ～,●,
century,名,１世紀、１００年,in the 20th century,,
ceremony,名,式、式典,the entrance ceremony,●,
certainly,副,①確かに、必ず　②(質問・依頼への返答として)もちろん、その通り、承知しました,①He will certainly come.　②Certainly.,●,
chair,名,いす,sit on a chair,,
challenge,"名
動","試練、挑戦
～に挑む、～に異議を唱える","face a difficult challenge
I challenged her.",●,
chance,名,機会、チャンス,have a chance to go to China,,
change,"名
動
","変化
～を変える、変わる、変化する　
　change trains　電車を乗りかえる","a change of seasons
change the world
",,●
character,名,①登場人物　②個性、性格,①a main character in the movie  ②have a cheerful character,,
charge,"名
動","受け持ち、責任
～を充電する","take charge of the class
charge my mobile phone",●,
cheap,形,安い,a cheap computer,,
check,"名
動
","検査
～を調べる、～をチェックする
　check ～ out　～を調査する　","a careful check 
check the time
",●,
cheer,"名
動","歓呼、かっさい、声援
～を元気づける、～を励ます、～を慰める　","a cheer goes up
cheer her up",●,
cheerful,形,明るい、元気のある,a cheerful boy,,
cheese,名,チーズ,many kinds of cheese,●,
cherry,名,サクランボ、サクラの木,eat a cherry / cherry blossoms,,
chicken,名,鶏肉,eat chicken,,
child,名,子ども  《複数》children,I lived in France when I was a child.,,
China,名,中国,live in China,,
Chinese,"名
形","中国人、中国語
中国人の、中国語の、中国の","speak Chinese
Chinese people",,●
chocolate,名,チョコレート,I like chocolate.,,
choice,名,選択、選ぶこと,a very difficult choice,,
choose,動,～を選ぶ、～を選択する　《活用》chose-chosen,choose the correct answer,,
chorus,名,合唱、合唱部,She is in the chorus club.,●,
Christmas,名,クリスマス,a present for Christmas,,
circle,動,～を丸で囲む、(～を)一周する、(～を)回る,circle the answer,●,
city,名,市、都市、都会,I live in a big city.,,
city hall,名,市役所、市庁舎,go to the city hall,●,
class,名,授業、学級、(クラスの)みなさん,a history class,,
classmate,名,同級生、クラスメート,classmates in high school,,
classroom,名,教室,in a classroom,,
clean,"動
形","～を掃除する
きれいな、清潔な","clean the floor
a clean room",,
cleaner,名,掃除機、クリーナー,use a cleaner,●,
clear,"動
形","～を片づける
①はっきりとした、澄んだ　②晴れた、快晴の","clear the dishes
①This photo is not clear.  ②a clear day",,●
clearly,副,明らかに、はっきりと,speak clearly,,
clerk,名,係員、店員,a convenience store clerk,,
climb,動,～を登る,climb Mt. Fuji,,
clock,名,時計,a clock on the wall,,
close,"動
形
副","～を閉じる、～を閉める　
接近した、ごく近い
近くに","close the door
be close to the station
stand close behind",,●
closed,形,閉じている、閉じた、閉店の,the closed door,●,
cloth,名,布、布地、布切れ,wash the cloth,●,
clothes,名,衣服、服,put on my clothes,,
cloud,名,雲,white clouds in the sky,,
cloudy,形,くもりの,It is cloudy today.,,
club,名,クラブ、部,a soccer club,,
coach,"名

動","①(運動選手・チームなどの)コーチ　②長距離バス、大型馬車、客車
～に指導する、～のコーチをする　","①a soccer coach　②go by coach

coach students for the match",,●
coat,名,コート、上着,take off my coat,,
coffee,名,コーヒー,make coffee,,
coin,名,硬貨、コイン,coins on the table,●,
cold,"名
形","かぜ
寒い、冷たい","have a bad cold
cold wind",,
collect,動,～を集める、～を収集する,collect postcards,,
college,名,大学,go to college,,
color,名,色,the color of the sky,,
colorful,形,色彩に富んだ、カラフルな,find a colorful bird,,
come,"動





","①(話し手の方へ)来る、(聞き手の方へ)行く　②(もの・ことが)～になる　《活用》came-come
　come from ～　～出身である、～から来ている、～から生じる
　come in　入る、入ってくる
　Come on.　さあ。がんばれ。
　come true　実現する","①come home　②My dream came true.




",,●
comedian,名,お笑い芸人、コメディアン,He became a comedian.,●,
comfortable,形,心地よい、快適な,buy a comfortable sofa,●,
comic,"名
形","マンガ
マンガの","read comics 
a comic artist",,●
common,形,ふつうの、よくある、共通の,the most common way,●,
communicate,動,～を伝達する、伝え合う,communicate with him,,
communication,名,意思疎通、コミュニケーション,communication between people,,
company,名,会社,work for a company,,
compare,動,～を比較する、～を比べる,compare the two dictionaries,,
complete,動,～を完成させる,complete the difficult job,,
computer,名,コンピュータ,use a computer,,
concert,名,コンサート,go to a piano concert,,
conclusion,"名
","結論
　in conclusion  まとめると、結論として","in conclusion
",,●
condition,名,条件、状態、健康状態,in bad condition,,
connect,動,～を結びつける、～をつなぐ、つながる,This road connects Tokyo and Kyoto.,,
content,名,内容,the content of her speech,,
contest,名,試合、競技、コンテスト、競争,a speech contest,,
continue,動,続く、～を続ける、～をし続ける,continue to study,,
control,"名
動","支配、統制
～を思うように操る、～を管理する","control over nature
control the machine",●,
convenience,名,便利,a great convenience,,
convenience store,名,コンビニエンスストア,go to a convenience store,●,
convenient,形,便利な、都合のよい、手ごろな,a convenient time to meet,,
conversation,名,会話、おしゃべり,have a conversation ,,
cook,"名
動","コック、料理人
～を料理する、料理をする","a good cook
cook dinner",,●
cookie,名,クッキー,She ate some cookies.,●,
cooking,名,料理,Japanese cooking,●,
cool,"動
形
","～を冷やす、冷える
①涼しい、冷えた　②かっこいい、すばらしい、おしゃれな","cool drinks
①a cool day　②He is cool.
",,●
copy,名,①コピー、複製　②１冊、１部,①make a copy　②another copy of the book,●,
corn,名,トウモロコシ,I like corn soup.,●,
corner,名,角、コーナー,on the corner of a street,,
correct,形,正しい、正確な,choose the correct answer,,
correspond,動,対応する、一致する,correspond to ～,,●
cost,"動
",(費用・金額が)かかる、(費用・金額を)要する　《活用》cost-cost,"cost 1,000 yen",,
could,"助

","(canの過去形)　①～することができた　②(仮定法過去：if節を伴う場合)(もし...すれば)～できるだろうに
　Could you～?　～していただけませんか。","①I could not see the movie yesterday.　②If I were a doctor, I could help many sick people.
",,●
count,動,(～を)数える、計算する、重要である,count the money,,●
country,名,郊外、国、いなか,live in this country,,
couple,名,①２、３の　②夫婦,①a couple of days　②They are a good couple.,●,
courage,名,勇気,have the courage to ～,,
course,"名
","進路、方向
　of course　もちろん","change the course
",,●
cousin,名,いとこ,She is my cousin.,●,
cover,動,～をおおう,The mountain is covered with snow.,,
cow,名,牛、乳牛、雌牛,Cows eat corn.,●,
crane,名,ツル,a crane flying in the sky,,
create,動,～を創造する、～を生み出す,create something new,●,
creative,形,創造的な、独創的な,a creative way to solve the problem,●,
cross,動,(～を)渡る、(～を)横断する、～を横切る,cross the street,●,
crowded,形,混み合った、満員の,The train is crowded with many people.,,
cry,"名
動","叫び声、大声
泣く、鳴く","have a cry
A baby is crying.",,●
cucumber,名,キュウリ,cut a cucumber,●,
culture,名,文化,Japanese culture,,
cup,名,カップ、茶わん、カップ１杯分,a cup of coffee,,
curry,名,カレー,make chicken curry,,
curry and rice,名,カレーライス,I ate curry and rice for lunch.,●,
custom,名,習慣、風習,an old custom,,
customer,名,客,Many customers came to the shop.,●,
cut,動,～を切る、～の供給をとめる　《活用》cut-cut,cut the cake,,
cute,形,かわいい,a cute doll,,
cycling,名,サイクリング、自転車に乗ること,a cycling trip,●,
,,,,,
【d】,,,,,
dad,名,お父さん、パパ,My dad works for a bank.,●,
daily,形,毎日の、日々の、日常の,in our daily lives,●,
damage,動,～に損害を与える、～を傷つける,damage our health,●,
dance,"名
動","ダンス、踊り
ダンスをする、踊る","We enjoyed the wonderful dance. 
We enjoyed dancing on the stage.",,
dancer,名,ダンサー、踊る人,a famous dancer,,
dancing,名,ダンス、踊り,He is good at dancing.,●,
danger,名,危険、危険性、危険な状態,There is a danger of ～.,,
dangerous,形,危険な,a dangerous place,,
dark,形,暗い、濃い,in a dark room,,
data,名,データ、資料、情報,show my data,●,
date,名,月日、日付,What date is it today?,,
daughter,名,娘,our daughter,,
day,"名

","①日、１日　②(ある特定の)日、記念日、祝祭日　③昼間、日中
　in those days　そのころは、当時は","①every day　②set a day　③all day long

",,●
dead,形,死んだ、死んでいる、枯れている,She is not dead.,,
deal,"名
動

","取引、契約
扱う　《活用》dealt-dealt
　deal with ～ ～を取り扱う
　deal in　(商品を)扱う","do a deal with ～
This shop deals with a lot of goods.

",●,
dear,"名
形

間","あなた(親しい人への呼びかけ)
①親愛なる～(手紙の書きだしに使う)　②かわいい、いとしい
おや、まあ","My dear!
①Dear Tom,　②my dear children

Oh dear!",,●
death,名,死,after the death of his father,,
December,名,１２月,in December,,
decide,動,～することを決める、～しようと決心する,decide to do it,,
decorate,動,～を飾る、～を装飾する,decorate the room,●,
decrease,動,～を減らす、減る、減少する,The number of children decreased.,●,
deep,形,①深い　②深さが～で,①This lake is deep.  ②This lake is 30 meters deep.,,
deer,名,シカ  《複数》deer,Look at that deer.,●,
degree,名,①(温度・角などの)度　②学位,①The temperature is 32 degrees.　②get a degree,●,
delicious,形,おいしい,the most delicious food in the world,,
deliver,動,～を配達する、～を届ける,deliver the newspaper,●,
delivery,名,①配達　②話しぶり、(演説の)仕方,①order a food delivery　②a good delivery,●,
dentist,名,歯科医、歯医者,go to the dentist,●,
department store,名,デパート、百貨店,enjoy shopping in the department store,,
depend,"動
","頼る、依存する
　depend on ～　～次第である","depend on you
",,●
design,"名
動","デザイン、図案、設計、設計図
～を設計する、～をデザインする","the design of a house
design a future house",●,
desk,名,机,on a desk,,
destroy,動,～を破壊する、～を壊す,destroy the building,,
detail,"名
","細部、詳細
　in detail　詳しく","explain it in detail
",●,
develop,動,～を発達させる、発達する、～を開発する,develop technology,●,
development,名,発達、開発,AI is a development in computers.,●,
device,名,装置,many musical devices,●,
diary,名,日記,write a diary,,
dictionary,名,辞書,buy a new dictionary,,
die,"動
","死ぬ
　die out　絶滅する","My bird died.
",,●
difference,名,違い、相違点,the difference between A and B,,
different,"形
","違った、異なる、いろいろな、様々な
　be different from ～　～と違っている","a different culture
",,●
difficult,形,難しい、困難な、苦しい、厳しい,a difficult question,,
dinner,名,ディナー、夕食,after dinner,,
direction,名,方角、方向,walk in the same direction,●,
dirty,形,汚い、汚れた,My shirt got dirty.,●,
disagree,"動
","反対する
　disagree with ～　～に反対する",disagree with him,,●
disappear,動,消滅する、なくなる、いなくなる、見えなくなる,disappear into the dark room,,
disaster,名,災害、惨事,a natural disaster,,
dish,名,①皿、食器類　②料理、食べ物,①do the dishes　②a main dish,,●
diversity,名,多様性,diversity of nature,●,
do,"動
","①～をする　②やっていく、うまくいく　《活用》did-done
　do one's best　最善を尽くす、がんばる","①do my homework　②do well
",,●
doctor,"名
","医者
　Dr. ～　～先生、～医師、～博士","see the doctor
",,●
dog,名,イヌ,have a dog,,
doll,名,人形,play with dolls,,
dollar,名,ドル　(米国・カナダ・オーストラリア・シンガポールなどの貨幣単位),five dollars,,●
dolphin,名,イルカ,see a dolphin in the sea,●,
door,名,ドア、扉,open a door,,
double,副,二人で、２倍に,We must not ride double on the bicycle.,●,
down,"形
副","落ち込んだ、元気がない
下に〔へ〕　","You look down.
look down into the box",,●
drama,名,ドラマ、劇、演劇,an exciting drama,,
draw,動,～を描く、(線を)引く　《活用》drew-drawn,draw a picture,,
dream,"名
動","夢、希望、理想
夢を見る　","My dream is to ～.
I dreamed of my friend.",,●
dress,"名
動","ドレス、服装
服を着る","a nice summer dress
dress well",,●
drill,名,訓練、ドリル,We had a fire drill yesterday.,●,
drink,"名
動","飲み物
～を飲む、酒を飲む　《活用》drank-drunk　　","buy cold drinks
drink some tea",,
drive,"名
動
","ドライブ、車による旅行
～を運転する、～を車で送る、車を運転する 《活用》drove-driven","go for a drive
drive a car
",,●
driver,名,運転手、ドライバー,a taxi driver,,
drone,名,ドローン　(無線操縦の無人機),A drone was flying in the sky.,●,
drop,"名
動","しずく、したたり
～を落とす、落ちる、体を低くする","a drop of rain
drop a pencil",,●
drum,名,ドラム、太鼓,play the drums,●,
dry,形,乾いた,in the dry season,,
during,前,～の間じゅう、～の間をとおして,during the vacation,,
DVD,名,ＤＶＤ,Used DVDs are cheap.,,
,,,,,
【e】,,,,,
each,"形
代
","それぞれの、各自の
それぞれ
　each other　お互い(に・を)","each student
each of you
",,●
ear,名,耳,My cat has long ears.,,
early,"形
副","(時間や時期が)早い、初期の
(時間的・時期的に)早く、早めに","early dinner
get up early",,
earth,名,地球,live on the earth,,
earthquake,名,地震,a big earthquake,,
easily,副,簡単に、容易に,make friends easily,,
east,"名
形","東
東の","from the east
the east gate",,●
eastern,形,東の、東にある、東部地方の,on the eastern side,,
easy,"形
副","簡単な、やさしい、くつろいだ
気楽に","an easy question
take it easy",,●
eat,動,～を食べる、食事をする　《活用》ate-eaten,eat lunch,,
eco-friendly,形,環境に配慮した、環境にやさしい,That car is eco-friendly.,●,
education,名,教育,Education is important for every child.,●,
effective,形,効果的な、有効な,an effective way to improve my English,●,
effort,名,努力,make an effort,,
egg,名,卵,a big egg,,
Egypt,名,エジプト,He lived in Egypt for three years.,●,
eight,"名
形","８
８の","My favorite number is eight.
eight students",,●
eighteen,"名
形","１８
１８の","I like the number eighteen.
eighteen students",,●
eighteenth,"名
形","１８番め、１８日
１８番めの","My birthday is August 18th.
in the eighteenth century ",,●
eighth,"名
形","８番め、８日
８番めの","My sister's birthday is August 8th.
in the eighth century ",,●
eighty,"名
形","８０
８０の","The number was eighty.
eighty years old",,●
either,副,(否定文のあとで)～もまた(…でない),I didn't have any money and she didn't either.,,
elderly,形,年配の,elderly people,●,
electric,形,電気の,I have an electric bicycle.,●,
electricity,名,電気,Electricity helps us live.,,
elementary school,名,小学校,My younger sister goes to elementary school.,●,
elephant,名,ゾウ,see a big elephant,,
eleven,"名
形","１１
１１の","My lucky number is eleven.
eleven players",,●
eleventh,"名
形","１１番め、１１日
１１番めの","My brother's birthday is January 11th.
in the eleventh century",,●
else,"形
副","ほかの
ほかに、その他に、さらに","someone else
anywhere else",,●
